id,title,content,link,created_at,updated_at,shortenURL,notice_type,to,due_date,club_id,slug,activity_id,event_at,associate_dues,regular_dues
35,10월 26일(일) 서울여대 가구만들기,"- 일시: 26일(일) 9시-17시
- 장소: 서울여대 잔디광장",,2014-10-23 11:47:25 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/o5ZpyH,to,10,2014-10-30 00:00:00 +0900,1,10-26,5,2014-10-30 00:00:00 +0900,50000,30000
36,햇봉 바람막이 수요조사 ^.^,"햇봉 바람막이를 새로 맞추려고 하는데, 구입하실 의향이 있으신 분은 '참가'를 꾹 눌러주세요 ><!! 수요가 많을수록 단가는 낮아진다능!!! 필요 없으신 분은 '불참'을 눌러주세요!! 저희가 파악하는데 많은 도움이 된답니다 ㅎㅎ",,2014-10-30 15:49:55 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/YgcsQT,survey,,2014-11-03 00:00:00 +0900,1,-02f4670d-87db-4213-93fd-ed54cc82b3a0,4,2014-11-03 00:00:00 +0900,,
37,2014학년도 동계 해외봉사단 (서울대-해비타트 봉사단) 안내,"햇봉끼리만 가는 글로벌 빌리지 프로그램은 다음 여름방학에 추진될 것 같아요 ㅎㅎ
이번 동계방학에 학교에서 진행하는 서울대-해비타트 봉사단이 있으니
관심있는 분들은 링크를 참고해주세요 ㅎㅎ",http://igsr.snu.ac.kr/center/events?bm=v&bbsidx=62,2014-11-14 22:18:32 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/jqtXdP,external,,2014-11-18 00:00:00 +0900,1,2014-1bc7f8a1-db5c-4e0f-956b-99af2bab18ba,4,2014-11-18 00:00:00 +0900,,
38,11월 15일 (토) 자체 벽화 봉사 안내,"- 일시: 11월 15일 (토) 9시-17시
- 장소: 신림동 주민센터 부근
- 참가비: 점심값 5000원+재료비 2000원",,2014-10-23 09:43:07 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/7qSE5u,to,8,2014-11-15 00:00:00 +0900,1,11-15,6,2014-11-15 00:00:00 +0900,40000,20000
39,11월 22일 (토) 11차 가구만들기,"- 일시: 11월 22일 (토) 10시-17시
- 장소: 글로벌사회공헌단 1층
- 참가비: 정단원 1.5만원/예비단원 2만원",,2014-10-23 09:50:16 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/q4EHNg,to,25,2014-11-22 00:00:00 +0900,1,11-22-11,7,2014-11-22 00:00:00 +0900,35000,25000
40,11월 15일 (토) 진주지회 건축봉사,"마지막 건축봉사입니다 >_<
진주에서 집짓고 시내로 이동해서 저녁먹고 촉석루도 구경하구
농촌체험장에서 하룻밤 자고 돌아오는 일정이에용 ㅎㅎㅎ

- 일시: 11월 15일 (토) - 11월 16일 (일)
- 장소: 진주지회/숙소: 가뫼골
- 참가비: 정단원4.5만/예비단원5만
(전체 숙박비와 버스비, 식비 동비로 반액 지원+술값 전액지원!!꺆)
- 인원:15명",,2014-10-23 09:48:49 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/YXSCUk,to,15,2014-11-15 00:00:00 +0900,1,11-15-6bcdcd7e-141b-4f41-99e8-a2a04917561f,8,2014-11-15 00:00:00 +0900,24000,14000
41,12월 12일 (금) 건강차 만들기 봉사,"- 일시:
- 장소:
- 내용:",,2014-10-23 09:51:56 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/41UOEj,to,8,2014-12-12 00:00:00 +0900,1,12-12,9,2014-12-12 00:00:00 +0900,62000,42000
42,동계 방학 Global Village Program 설명회,"안녕하세요 ^___^
전 세계의 열악한 주거환경을 개선하기 위해 노력하는 단기자원봉사 프로그램인 GV Program을 이번 동계 방학에 햇빛봉사단에서도 추진하고 있습니다!
관심있는 분들을 위해 간략한 설명회를 통해서 질의도 받고 계획중인 일정과 금액과 관련해서 정보를 공유하려고 해요~~

- 일시:
- 장소:

* 참석하지는 못하지만 관련 유인물을 받고 싶으신 분들은 불확실에 표시해주세요 ^^ 이메일으로 보내드리겠습니다!",,2014-10-23 09:55:50 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/5mnDdf,survey,,2014-10-27 00:00:00 +0900,1,global-village-program,4,2014-10-27 00:00:00 +0900,,
43,햇봉 바람막이 구입 안내 ^.^,"우왕 가을이다 (+_+) 한지가 엊그제 같은데 벌써 겨울이 성큼!! 아침 저녁으로 부는 바람이 정말 차가운데요~ 햇봉에서 야심차게 준비한 바람막이가 14개 남았어요 >< 그냥 입고 다니기에도 이쁘고 연탄 봉사 갈 때도 잘 어울려요^.^ 사이즈는 L이구요, 가격은 4.5만원입니다! 수요조사를 해서 구입하시려는 분이 많으면 사이즈를 좀 더 다양하게 해서 새로 맞춰보려고 해요! L으로 구입하실 분은 참가신청을 눌러주세요 ㅎㅎ",,2014-10-30 12:47:33 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/zbeKYa,to,14,2015-02-28 00:00:00 +0900,1,,4,2015-02-28 00:00:00 +0900,33000,21000
44,11월 8일(토) 재능기부데이 참여,팀장- 1.5만 / 모금참여- 1.5만 / 모금비참여- 2만,,2014-11-03 13:07:13 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/3DgrYU,to,19,2014-11-08 00:00:00 +0900,1,11-8,10,2014-11-08 00:00:00 +0900,29000,19000
45,"11월 1,2일 (토,일) 재능기부데이 모금",ㅜㅜ,,2014-11-03 13:27:33 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/XMZkgU,to,5,2014-11-09 00:00:00 +0900,1,11-1-2,11,2014-11-09 00:00:00 +0900,39000,37000
46,11월 15일 (토) 벽화 체크리스트,벽화 담당 staff: 김진아,,2014-11-10 17:28:57 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/lT2FYJ,checklist,,2014-11-11 00:00:00 +0900,1,11-15-236f676c-4c53-4fb5-bdf8-eecc0f673b6f,6,2014-11-14 00:00:00 +0900,,
47,11월 22일 (토) 11차 가구만들기 체크리스트,건축팀 담당!,,2014-11-10 17:34:57 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/9ACZks,checklist,,2014-11-11 00:00:00 +0900,1,11-22-11-957190e2-4532-435c-a507-73274978ab1c,7,2014-11-14 00:00:00 +0900,,
48,11월 14일(금) 연탄나눔봉사,ㅎㅎ참가비 없음,,2014-11-03 13:33:48 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/WXbdrz,to,30,2014-11-14 00:00:00 +0900,1,11-14,12,2014-11-14 00:00:00 +0900,3000,1000
49,11월 15일 (토) 중구 집고치기 봉사,"일시: 11월 15일 (토) 9시-17시
장소: 중구 신당동 복지관
참가비: 없음
*해비타트 지회에서 하는 건 아니고 vms로 봉사인정 될거에요 ㅎㅎ",,2014-11-10 23:08:39 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/zEBR6x,to,5,2014-11-14 00:00:00 +0900,1,11-15-68af8d74-1d15-4252-b94d-82b3b18c49e6,13,2014-11-14 00:00:00 +0900,10000,5000
50,2014학년도 동계 해외봉사단 (서울대-해비타트 봉사단) 안내,"햇봉끼리만 가는 글로벌 빌리지 프로그램은 다음 여름방학에 추진될 것 같아요 ㅎㅎ
이번 동계방학에 학교에서 진행하는 서울대-해비타트 봉사단이 있으니
관심있는 분들은 링크를 참고해주세요 ㅎㅎ","2014학년도 동계 해외봉사단(제9기스누봉사단, 서울대-해비타트 봉사단)",2014-11-14 22:17:46 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/j9k2bG,external,,2014-11-18 00:00:00 +0900,1,2014,4,2014-11-18 00:00:00 +0900,,
51,2014학년도 동계 해외봉사단 (서울대-해비타트 봉사단) 안내,"햇봉끼리만 가는 글로벌 빌리지 프로그램은 다음 여름방학에 추진될 것 같아요 ㅎㅎ
이번 동계방학에 학교에서 진행하는 서울대-해비타트 봉사단이 있으니
관심있는 분들은 링크를 참고해주세요 ㅎㅎ",http://igsr.snu.ac.kr/center/events?bm=v&bbsidx=62,2014-11-14 22:18:38 +0900,2014-11-15 17:00:28 +0900,http://goo.gl/C5uQp8,external,,2014-11-18 00:00:00 +0900,1,2014-d3382c72-f53b-460c-98e0-f7aa890693f2,4,2014-11-18 00:00:00 +0900,,
52,2014학년도 동계 해외봉사단 (서울대-해비타트 봉사단) 안내,"햇봉끼리만 가는 글로벌 빌리지 프로그램은 다음 여름방학에 추진될 것 같아요 ㅎㅎ 
이번 동계방학에 학교에서 진행하는 서울대-해비타트 봉사단이 있으니 
관심있는 분들은 링크를 참고해주세요 ㅎㅎ",,2014-11-15 17:07:05 +0900,2014-11-15 17:07:05 +0900,http://goo.gl/cORWqw,plain,,2014-11-19 00:00:00 +0900,1,2014hangnyeondo-donggye-hae-oebongsadan-seo-uldae-haebitateu-bongsadan-annae,4,2014-11-19 00:00:00 +0900,,